latitude,longitude,room_type,accommodates,price,availability_365,review_score,is_entire_home,city
34.00351333618164,-118.47799682617188,Entire home/apt,3,490.0,338,4.93,1,Los Angeles
34.0785,-118.41364,Entire home/apt,2,186.0,29,4.96,1,Los Angeles
34.12887,-118.23526,Entire home/apt,4,104.0,364,4.9,1,Los Angeles
33.99077,-118.42775,Entire home/apt,2,146.0,144,4.76,1,Los Angeles
34.08736,-118.35392,Entire home/apt,1,115.0,365,5.0,1,Los Angeles
34.17028045654297,-118.6543960571289,Entire home/apt,2,88.0,352,4.79,1,Los Angeles
34.15533,-118.23708,Entire home/apt,1,90.0,232,5.0,1,Los Angeles
34.12206,-118.26783,Entire home/apt,2,75.0,89,4.64,1,Los Angeles
34.00103425485201,-118.44055003312948,Entire home/apt,2,112.0,309,4.76,1,Los Angeles
34.10336,-118.32366,Entire home/apt,6,125.0,365,4.12,1,Los Angeles
34.08295,-118.27693,Private room,1,86.0,180,4.72,0,Los Angeles
34.0927,-118.36314,Entire home/apt,2,193.0,364,4.97,1,Los Angeles
34.00599,-118.47871,Entire home/apt,10,891.0,312,,1,Los Angeles
34.08609,-118.27127,Entire home/apt,2,213.0,305,4.81,1,Los Angeles
34.11874,-118.32113,Entire home/apt,4,105.0,324,4.92,1,Los Angeles
34.01384,-118.49728,Private room,2,148.0,363,4.38,0,Los Angeles
34.15227,-118.10359,Private room,2,131.0,178,4.69,0,Los Angeles
34.05542,-118.35994,Entire home/apt,2,70.0,245,,1,Los Angeles
34.12474,-118.35844,Entire home/apt,6,465.0,94,4.89,1,Los Angeles
34.09517,-118.34399,Entire home/apt,4,391.0,359,5.0,1,Los Angeles
33.8634,-118.37026,Private room,2,87.0,205,4.93,0,Los Angeles
34.00816,-118.46601,Entire home/apt,6,500.0,234,5.0,1,Los Angeles
34.07645,-118.20635,Entire home/apt,4,230.0,94,4.71,1,Los Angeles
34.062870677311345,-118.37375830599689,Entire home/apt,2,135.0,365,4.78,1,Los Angeles
33.99122,-118.46898,Entire home/apt,6,417.0,334,4.92,1,Los Angeles
34.11082,-118.23036,Entire home/apt,2,86.0,245,4.94,1,Los Angeles
34.10746,-118.34073,Entire home/apt,2,109.0,335,,1,Los Angeles
34.10336,-118.32366,Entire home/apt,4,105.0,365,4.5,1,Los Angeles
34.14402,-118.36914,Private room,1,65.0,363,5.0,0,Los Angeles
