city,zip,airbnb_count,avg_airbnb_price,entire_home_ratio,avg_review_score,avg_accommodates
Los Angeles,90704,253,1245.490118577075,0.924901185770751,4.651975308641975,5.845849802371541
Los Angeles,90706,70,182.5,0.7142857142857143,4.62962962962963,4.942857142857143
Los Angeles,90710,53,87.20754716981132,0.33962264150943394,4.764347826086956,2.8679245283018866
Los Angeles,90712,25,187.64,0.72,4.876956521739131,3.16
Los Angeles,90713,16,154.5625,0.75,4.84375,3.9375
Los Angeles,90715,14,111.92857142857143,0.7142857142857143,4.594166666666667,3.2857142857142856
Los Angeles,90716,6,101.5,0.3333333333333333,4.8375,4.333333333333333
Los Angeles,90717,29,182.82758620689654,0.7586206896551724,4.833461538461538,3.793103448275862
Los Angeles,90723,19,126.42105263157895,0.47368421052631576,4.865,3.6842105263157894
Los Angeles,90731,109,177.75229357798165,0.8807339449541285,4.7919230769230765,4.036697247706422
Los Angeles,90732,27,207.37037037037038,0.6666666666666666,4.891818181818182,4.296296296296297
Los Angeles,90744,14,101.57142857142857,0.5714285714285714,4.885000000000001,2.857142857142857
Los Angeles,90745,64,123.109375,0.71875,4.695714285714286,3.25
Los Angeles,90746,46,172.6304347826087,0.6521739130434783,4.7956666666666665,3.8043478260869565
Los Angeles,90755,27,154.74074074074073,0.7037037037037037,4.8707692307692305,3.8518518518518516
Los Angeles,90802,433,1380.1131639722864,0.7598152424942263,4.767514619883041,3.7020785219399537
Los Angeles,90803,352,284.54829545454544,0.9289772727272727,4.873520249221184,4.769886363636363
Los Angeles,90804,130,152.77692307692308,0.9,4.843035714285714,4.315384615384615
Los Angeles,90805,63,155.22222222222223,0.7619047619047619,4.836153846153846,4.428571428571429
Los Angeles,90806,89,136.13483146067415,0.7640449438202247,4.857142857142857,3.865168539325843
Los Angeles,90807,77,184.92207792207793,0.7662337662337663,4.894153846153846,4.1558441558441555
Los Angeles,90808,79,174.36708860759492,0.6582278481012658,4.8748611111111115,4.468354430379747
Los Angeles,90810,30,110.76666666666667,0.7,4.810416666666667,3.1666666666666665
Los Angeles,90813,88,135.9090909090909,0.8181818181818182,4.795324675324675,4.0
Los Angeles,90814,97,196.68041237113403,0.9381443298969072,4.875609756097561,4.134020618556701
Los Angeles,90815,55,191.07272727272726,0.8,4.92,4.6
Los Angeles,91001,71,272.71830985915494,0.7323943661971831,4.860847457627119,4.084507042253521
Los Angeles,91006,111,182.43243243243242,0.7027027027027027,4.755930232558139,4.153153153153153
Los Angeles,91007,106,983.6320754716982,0.6226415094339622,4.678108108108108,4.650943396226415
Los Angeles,91010,50,118.4,0.54,4.872093023255814,3.46
Los Angeles,91011,34,332.1470588235294,0.7352941176470589,4.923793103448276,3.588235294117647
Los Angeles,91016,202,169.43069306930693,0.8316831683168316,4.806763005780347,4.267326732673268
Los Angeles,91020,16,165.25,1.0,4.93,3.875
Los Angeles,91024,28,416.2142857142857,0.9642857142857143,4.951578947368421,5.857142857142857
Los Angeles,91030,77,204.06493506493507,0.8311688311688312,4.791194029850746,3.948051948051948
Los Angeles,91040,30,238.16666666666666,0.8333333333333334,4.914736842105263,4.6
Los Angeles,91042,22,193.63636363636363,0.6818181818181818,4.765882352941176,4.136363636363637
Los Angeles,91101,100,181.18,0.89,4.845180722891566,3.47
Los Angeles,91103,90,288.9111111111111,0.8555555555555555,4.748219178082191,4.8
Los Angeles,91104,114,234.37719298245614,0.7894736842105263,4.833823529411765,4.219298245614035
Los Angeles,91105,65,327.89230769230767,0.9076923076923077,4.9056862745098035,4.184615384615385
Los Angeles,91106,121,192.5785123966942,0.7768595041322314,4.843142857142857,4.132231404958677
Los Angeles,91107,235,227.85531914893616,0.774468085106383,4.820510204081633,4.548936170212766
Los Angeles,91108,26,598.1923076923077,0.7692307692307693,4.8525,6.076923076923077
Los Angeles,91201,60,195.55,0.8333333333333334,4.767647058823529,4.266666666666667
Los Angeles,91202,33,235.3939393939394,0.9393939393939394,4.72,4.575757575757576
Los Angeles,91203,91,196.84615384615384,0.9340659340659341,4.747702702702703,4.912087912087912
Los Angeles,91204,140,169.9142857142857,0.9571428571428572,4.7189523809523815,4.107142857142857
Los Angeles,91205,98,179.05102040816325,0.8163265306122449,4.826744186046512,4.357142857142857
Los Angeles,91206,69,165.31884057971016,0.927536231884058,4.8220370370370365,3.869565217391304
Los Angeles,91207,32,331.0625,0.78125,4.8725000000000005,5.375
Los Angeles,91208,26,168.73076923076923,0.7692307692307693,4.88,2.923076923076923
Los Angeles,91210,23,298.60869565217394,0.9130434782608695,4.345000000000001,4.956521739130435
Los Angeles,91214,41,264.1219512195122,0.8780487804878049,4.928387096774194,4.682926829268292
Los Angeles,91301,78,366.62820512820514,0.7051282051282052,4.87968253968254,4.756410256410256
Los Angeles,91302,122,474.24590163934425,0.8278688524590164,4.861494252873563,5.19672131147541
Los Angeles,91303,46,156.95652173913044,0.8043478260869565,4.829285714285715,3.891304347826087
Los Angeles,91304,93,200.8279569892473,0.7096774193548387,4.89625,4.67741935483871
Los Angeles,91306,93,161.48387096774192,0.6666666666666666,4.884166666666667,4.129032258064516
Los Angeles,91307,114,225.09649122807016,0.8157894736842105,4.829864864864865,5.324561403508772
Los Angeles,91311,84,280.6309523809524,0.7142857142857143,4.91078125,5.2023809523809526
Los Angeles,91316,106,414.688679245283,0.8584905660377359,4.830845070422535,6.132075471698113
Los Angeles,91321,50,231.64,0.6,4.782380952380953,4.54
Los Angeles,91324,51,194.2156862745098,0.6862745098039216,4.668055555555556,4.333333333333333
Los Angeles,91325,82,223.1829268292683,0.8292682926829268,4.8990625,5.2073170731707314
Los Angeles,91326,34,214.41176470588235,0.7058823529411765,4.9352,4.970588235294118
Los Angeles,91330,2,277.5,1.0,4.82,10.5
Los Angeles,91331,18,97.83333333333333,0.5555555555555556,4.851666666666667,3.2222222222222223
Los Angeles,91335,203,167.67487684729065,0.7783251231527094,4.849857142857143,4.463054187192118
Los Angeles,91340,39,164.6153846153846,0.7948717948717948,4.783142857142857,5.743589743589744
Los Angeles,91342,49,201.46938775510205,0.8163265306122449,4.828181818181818,5.673469387755102
Los Angeles,91343,84,145.11904761904762,0.7023809523809523,4.829016393442623,4.642857142857143
Los Angeles,91344,51,284.8627450980392,0.9019607843137255,4.888333333333334,7.03921568627451
Los Angeles,91345,19,140.68421052631578,0.7368421052631579,4.204545454545454,4.7894736842105265
Los Angeles,91350,50,219.12,0.66,4.850625,5.12
Los Angeles,91351,39,173.56410256410257,0.5641025641025641,4.763125,4.256410256410256
Los Angeles,91352,46,132.08695652173913,0.6956521739130435,4.779090909090909,3.8260869565217392
Los Angeles,91354,45,233.88888888888889,0.5555555555555556,4.716969696969697,3.6222222222222222
Los Angeles,91355,47,213.29787234042553,0.8085106382978723,4.87875,4.595744680851064
Los Angeles,91356,141,487.93617021276594,0.851063829787234,4.8301234567901234,6.468085106382978
Los Angeles,91361,8,376.375,0.75,4.958571428571429,5.375
