city,zip,airbnb_count,avg_airbnb_price,entire_home_ratio,avg_review_score,avg_accommodates,avg_rent_2024,avg_rent_2025,rent_growth
Los Angeles,90047,152,168.85526315789474,0.8421052631578947,4.732063492063492,4.25,2430.6469660886387,2438.2383948808647,0.0031232132424570125
Los Angeles,90048,514,439.89494163424126,0.8326848249027238,4.7720253164556965,4.898832684824903,3436.4835720380747,3525.5618905380156,0.025921357292306577
Los Angeles,90049,181,669.8066298342542,0.7790055248618785,4.790588235294117,4.3812154696132595,3809.110445660122,4067.476176203952,0.06782836418886118
Los Angeles,90056,72,267.40277777777777,0.7916666666666666,4.782666666666667,4.972222222222222,,,
Los Angeles,90057,50,129.86,0.58,4.53,3.8,2074.8020182816995,2059.8922260825034,-0.007186127672819606
Los Angeles,90059,40,86.575,0.4,4.752972972972972,2.8,,3084.1838315917207,
Los Angeles,90061,18,231.83333333333334,0.7222222222222222,4.771764705882354,7.444444444444445,,2123.70656766671,
Los Angeles,90062,69,220.8840579710145,0.782608695652174,4.723,4.318840579710145,2418.2049363582696,2498.1721431697083,0.03306882953099354
Los Angeles,90063,250,180.444,0.836,4.780528634361234,4.62,2296.722219943908,2457.0459872432702,0.06980546707266926
Los Angeles,90064,181,195.17127071823205,0.6574585635359116,4.779999999999999,3.3314917127071824,3455.5196986604897,3552.965144521826,0.02819993933158895
Los Angeles,90065,169,183.28402366863907,0.8165680473372781,4.886666666666667,3.502958579881657,2761.0323124412043,2855.5990199660537,0.0342504892458998
Los Angeles,90066,495,221.22626262626264,0.8646464646464647,4.815744125326371,3.4868686868686867,3067.611873729822,3151.98545617699,0.02750464723706404
Los Angeles,90067,8,457.375,1.0,4.875,4.625,,,
Los Angeles,90068,596,409.99328859060404,0.8691275167785235,4.81175799086758,4.565436241610739,3095.099804149058,3209.924990668152,0.03709902548705154
Los Angeles,90069,601,2799.1564059900165,0.9018302828618968,4.801818181818182,5.336106489184692,3498.140332639969,3612.811800393132,0.032780693982800604
Los Angeles,90077,92,2093.728260869565,0.8695652173913043,4.91078431372549,7.641304347826087,,11795.135177611288,
Los Angeles,90094,47,245.63829787234042,0.9787234042553191,4.881363636363637,3.1914893617021276,4350.7991243459965,4511.907620021798,0.037029633194113246
Los Angeles,90201,31,121.12903225806451,0.6451612903225806,4.836923076923077,3.5806451612903225,,2516.1601072742474,
